21460.60,21460.60,24,N,0,1,1,0,0,Harry Giddens
19035.20,19035.20,22,N,0,1,0,0,1,Cate Giddens
21460.60,21460.60,24,N,0,1,1,0,0,Harry Giddens
21460.60,21460.60,2,N,0,1,1,0,0,Harry Scott
19035.20,19035.20,10,N,0,1,0,0,1,CJ Vine
19035.20,19035.20,1,N,0,1,0,0,1,Cj Tommy
14900.00,13410.00,123,Y,10,1,0,1,0,DDD
14900.00,14900.00,45,N,0,1,0,1,0,Emma Giddens
14900.00,13410.00,2222,Y,10,1,0,1,0,gggg
55395.80,49856.22,1111,Y,10,3,1,1,1,vvvvvvv
19035.20,17131.68,333,Y,10,1,0,0,1,fevgfw
14900.00,14900.00,21,N,0,1,0,1,0,Hazza G
19035.20,19035.20,34,N,0,1,0,0,1,jkjk
14900.00,14900.00,12,N,0,1,0,1,0,Harry J
21460.60,21460.60,1,N,0,1,1,0,0,a
14900.00,14900.00,1,N,0,1,0,1,0,Tim Boole
